DEPARTAMENTO,PROVINCIA,DISTRITO,CENTRO POBLADO,LATITUD,LONGITUD,VIVIENDAS,POBLACION
LORETO,REQUENA,EMILIO SAN MARTIN,NUEVO SAN ANTONIO,-5.671662,-74.27765,2,2
MADRE DE DIOS,TAMBOPATA,INAMBARI,PUERTO MAZUKO,-13.090528,-70.39145,50,177
MADRE DE DIOS,MANU,HUEPETUHE,BAMBERME,-13.012593,-70.659838,36,106
MADRE DE DIOS,MANU,MADRE DE DIOS,SETAPO,-12.968502,-70.647218,17,64
MADRE DE DIOS,MANU,HUEPETUHE,SETAPO,-13.022499,-70.66757,11,22
MADRE DE DIOS,MANU,HUEPETUHE,ARCO IRIS,-12.939392,-70.603532,5,13
MOQUEGUA,MARISCAL NIETO,TORATA,YACANGO,-17.093655,-70.865401,288,783
MOQUEGUA,GENERAL SANCHEZ CERRO,COALAQUE,COALAQUE,-16.649001,-71.021666,122,364
MOQUEGUA,GENERAL SANCHEZ CERRO,LLOQUE,LLOQUE,-16.323852,-70.738557,112,299
MOQUEGUA,GENERAL SANCHEZ CERRO,ICHUÑA,SANTA CRUZ DE OYO OYO (SANTA CRUZ),-16.154283,-70.578703,77,251
MOQUEGUA,MARISCAL NIETO,CARUMAS,SOMOA,-16.826877,-70.683602,101,205
MOQUEGUA,GENERAL SANCHEZ CERRO,MATALAQUE,MATALAQUE,-16.481234,-70.826598,81,186
MOQUEGUA,GENERAL SANCHEZ CERRO,UBINAS,TASSA,-16.181502,-70.698279,67,152
MOQUEGUA,GENERAL SANCHEZ CERRO,UBINAS,SACOHAYA,-16.403802,-70.874521,59,148
MOQUEGUA,GENERAL SANCHEZ CERRO,ICHUÑA,MAYCUNACA,-16.145988,-70.602117,56,142
MOQUEGUA,GENERAL SANCHEZ CERRO,MATALAQUE,CANDAHUA,-16.535292,-70.808997,51,90
MOQUEGUA,MARISCAL NIETO,CUCHUMBAYA,YOJO,-16.766687,-70.722503,49,84
MOQUEGUA,GENERAL SANCHEZ CERRO,COALAQUE,EL ESTANQUE,-16.642875,-71.036878,32,81
MOQUEGUA,MARISCAL NIETO,CUCHUMBAYA,SOQUESANE,-16.787234,-70.667805,36,73
MOQUEGUA,GENERAL SANCHEZ CERRO,UBINAS,PACHAMAYO,-16.170838,-70.68658,24,65
MOQUEGUA,GENERAL SANCHEZ CERRO,UBINAS,TAHUACA (SAN MIGUEL NUEVO),-16.416167,-70.833293,36,62
MOQUEGUA,GENERAL SANCHEZ CERRO,COALAQUE,BELLAVISTA,-16.645737,-71.036722,24,57
MOQUEGUA,GENERAL SANCHEZ CERRO,UBINAS,SAN CRISTOBAL DE TORATA,-16.350992,-70.74353,24,57
MOQUEGUA,MARISCAL NIETO,TORATA,LA PASCANA,-17.083195,-70.851823,19,54
MOQUEGUA,MARISCAL NIETO,MOQUEGUA,OASIS,-17.221979,-70.936121,25,50
MOQUEGUA,MARISCAL NIETO,CUCHUMBAYA,QUEBAYA,-16.749412,-70.678552,26,38
MOQUEGUA,MARISCAL NIETO,SAMEGUA,PULPITO,-17.156327,-70.864967,14,37
MOQUEGUA,MARISCAL NIETO,TORATA,CRUZ PATA,-17.090675,-70.850327,20,35
MOQUEGUA,MARISCAL NIETO,TORATA,ALEGOMA,-17.08677,-70.876587,16,35
MOQUEGUA,GENERAL SANCHEZ CERRO,MATALAQUE,HUARINA,-16.444942,-70.81691,19,35
MOQUEGUA,MARISCAL NIETO,CUCHUMBAYA,HUATALAQUE,-16.751332,-70.718358,20,30
MOQUEGUA,GENERAL SANCHEZ CERRO,OMATE,TAMAÑA,-16.646173,-70.985907,14,30
MOQUEGUA,MARISCAL NIETO,SAMEGUA,BUENA VISTA,-17.153221,-70.860652,14,29
MOQUEGUA,MARISCAL NIETO,MOQUEGUA,ALTO LA VILLA,-17.181123,-70.927184,10,17
MOQUEGUA,GENERAL SANCHEZ CERRO,OMATE,LA BANDA,-16.647977,-70.98783,8,16
MOQUEGUA,MARISCAL NIETO,MOQUEGUA,CONDEZA ALTA,-17.217489,-70.962353,13,15
MOQUEGUA,MARISCAL NIETO,MOQUEGUA,MONTALVO,-17.212077,-70.96557,5,14
MOQUEGUA,MARISCAL NIETO,SAMEGUA,PAMPA COLORADA,-17.157738,-70.8564,6,11
MOQUEGUA,GENERAL SANCHEZ CERRO,UBINAS,SANCAYA,-16.407381,-70.871661,6,10
MOQUEGUA,MARISCAL NIETO,SAMEGUA,QUEBRADA MAMA ROSA,-17.154221,-70.859409,3,9
MOQUEGUA,GENERAL SANCHEZ CERRO,COALAQUE,SANTA CRUZ,-16.641313,-71.048488,6,9
MOQUEGUA,MARISCAL NIETO,SAMEGUA,ESCAPALAQUE,-17.1741,-70.89677,3,5
MOQUEGUA,MARISCAL NIETO,MOQUEGUA,VIRGEN DEL CARMEN,-17.219217,-70.953549,2,4
MOQUEGUA,MARISCAL NIETO,SAMEGUA,SANCARA,-17.169983,-70.887604,2,3
MOQUEGUA,GENERAL SANCHEZ CERRO,UBINAS,CIBAYA,-16.242755,-70.75018,3,3
MOQUEGUA,MARISCAL NIETO,MOQUEGUA,LOS LAURELES,-17.217132,-70.933582,2,2
MOQUEGUA,MARISCAL NIETO,MOQUEGUA,EDEN,-17.219129,-70.928292,1,2
MOQUEGUA,GENERAL SANCHEZ CERRO,ICHUÑA,ICHUPAMPA,-16.15538,-70.572832,1,1
MOQUEGUA,GENERAL SANCHEZ CERRO,LLOQUE,PORTILLO PUNCO,-16.328705,-70.732138,1,1
MOQUEGUA,GENERAL SANCHEZ CERRO,MATALAQUE,VILLA CANDAHUA,-16.538407,-70.808628,1,1
MOQUEGUA,MARISCAL NIETO,SAMEGUA,TUCUMAN,-17.171652,-70.894071,0,0
MOQUEGUA,MARISCAL NIETO,SAMEGUA,BELEN DE SAMEGUA,-17.184157,-70.919704,0,0
MOQUEGUA,GENERAL SANCHEZ CERRO,LLOQUE,HUMALIKE,-16.324417,-70.7311,0,0
MOQUEGUA,GENERAL SANCHEZ CERRO,MATALAQUE,ESPERANZA,-16.448032,-70.815758,0,0
MOQUEGUA,GENERAL SANCHEZ CERRO,UBINAS,SAN MIGUEL VIEJO,-16.414197,-70.83531,0,0
PASCO,PASCO,HUARIACA,HUARIACA,-10.439098,-76.19156,1484,6175
PASCO,PASCO,PAUCARTAMBO,PAUCARTAMBO,-10.774451,-75.813279,1358,5144
PASCO,PASCO,NINACACA,NINACACA,-10.855532,-76.113142,666,2400
PASCO,DANIEL ALCIDES CARRION,TAPUC,TAPUC,-10.454631,-76.46249,508,1644
PASCO,PASCO,TICLACAYAN,TICLACAYAN,-10.535045,-76.164246,368,1212
PASCO,PASCO,PAUCARTAMBO,AUQUIMARCA,-10.749311,-75.709818,258,941
PASCO,PASCO,PAUCARTAMBO,HUALLAMAYO,-10.764303,-75.716052,230,776
PASCO,DANIEL ALCIDES CARRION,CHACAYAN,CHANGO,-10.415116,-76.411389,347,766
PASCO,PASCO,YANACANCHA,LA QUINUA,-10.615642,-76.181193,191,730
PASCO,PASCO,PAUCARTAMBO,BELLAVISTA,-10.80961,-75.872323,169,603
PASCO,PASCO,TICLACAYAN,PUCURHUAY,-10.509087,-76.129252,110,333
PASCO,OXAPAMPA,VILLA RICA,PUENTE PAUCARTAMBO (2B),-10.837838,-75.290257,103,326
PASCO,OXAPAMPA,VILLA RICA,PUENTE PAUCARTAMBO (2A),-10.838302,-75.289432,97,284
PASCO,PASCO,HUACHON,CHIPA,-10.647632,-75.94004,92,268
PASCO,OXAPAMPA,CHONTABAMBA,LA FLORIDA,-10.600128,-75.414435,80,224
PASCO,DANIEL ALCIDES CARRION,VILCABAMBA,SAN MIGUEL DE CUCHIS,-10.519122,-76.420032,109,213
PASCO,PASCO,HUACHON,SANTA ISABEL,-10.719018,-75.643642,64,198
PASCO,PASCO,YANACANCHA,PARIAMARCA,-10.647763,-76.164693,56,198
PASCO,PASCO,YANACANCHA,SANTA ROSA DE PITIC BAJA,-10.618797,-76.187251,49,175
PASCO,DANIEL ALCIDES CARRION,PAUCAR,PAUCALIN,-10.333945,-76.35638,55,162
PASCO,PASCO,PAUCARTAMBO,PAMPAMARCA CENTRAL,-10.723793,-75.644502,16,43
PASCO,PASCO,YANACANCHA,SAN MIGUEL,-10.620696,-76.191066,18,40
PASCO,PASCO,PAUCARTAMBO,SAN JUAN,-10.789843,-75.831622,12,36
PASCO,PASCO,HUARIACA,TARAPATA,-10.439118,-76.194198,10,35
PASCO,PASCO,YANACANCHA,QUICHAS,-10.647055,-76.165787,13,35
PASCO,PASCO,TICLACAYAN,MACHALAN,-10.530973,-76.165762,3,11
PASCO,PASCO,PAUCARTAMBO,SANTA ROSA DE JATUN YACU,-10.792208,-75.82685,4,9
PASCO,PASCO,PAUCARTAMBO,CACARA,-10.774105,-75.802453,4,8
PASCO,PASCO,YANACANCHA,NUNUNYAYOC,-10.653848,-76.171376,2,7
PASCO,PASCO,TICLACAYAN,ACAPA CANCHA,-10.513745,-76.123802,1,6
PASCO,PASCO,YANACANCHA,MACAPATA,-10.623211,-76.186374,2,5
PASCO,PASCO,HUARIACA,POSUYOJ,-10.44014,-76.195682,2,3
PASCO,PASCO,YANACANCHA,MUYOMUYO,-10.651333,-76.165904,1,3
PASCO,DANIEL ALCIDES CARRION,VILCABAMBA,HUARICOLCA,-10.515005,-76.427137,1,3
PASCO,OXAPAMPA,VILLA RICA,KM 3,-10.837025,-75.292603,2,3
PASCO,PASCO,HUARIACA,CHALCAN,-10.442203,-76.19996,1,2
PASCO,PASCO,PAUCARTAMBO,SAN FRANCISCO,-10.786313,-75.826932,1,2
PASCO,PASCO,YANACANCHA,HUALANGAYOC,-10.653738,-76.172737,1,2
PASCO,PASCO,PAUCARTAMBO,TINDALPATA ALTA,-10.720438,-75.646958,1,1
PASCO,PASCO,HUARIACA,MONTECHICO,-10.442662,-76.197312,0,0
PASCO,PASCO,PAUCARTAMBO,PALMAFALDA,-10.723742,-75.645252,0,0
PASCO,PASCO,TICLACAYAN,MARCAPATA,-10.512163,-76.125143,0,0
PASCO,DANIEL ALCIDES CARRION,PAUCAR,GASAPASH,-10.325457,-76.355749,0,0
PIURA,PIURA,VEINTISÉIS DE OCTUBRE,SAN MARTIN,-5.179294,-80.678167,41165,165712
PIURA,PIURA,PIURA,PIURA,-5.152397,-80.65779,31767,149982
PIURA,PIURA,CASTILLA,CASTILLA,-5.201467,-80.622789,35518,145182
PIURA,PIURA,CATACAOS,CATACAOS,-5.26727,-80.672423,10565,44124
